index,SMILES,new name,old name,homo,lumo,bandgap,
150,c1sc(c(n1)C(=O)OC)C=C,507,835,-6.63756431,-2.092365031,4.545199279,
151,c1c2c(=O)sc(=O)c2c(c2c1c(=O)oc2=O)C=C,197,837,-7.668685323,-3.949895808,3.718789515,
152,c1sc(c(c1C#N)C#N)C=C,120,842,-7.112484613,-2.611912005,4.500572608,
153,c1oc(nc1),202,844,-7.076973755,-0.265474273,6.811499482,
154,c1sc(c2c1C(=O)c1ccc(CC)cc1C2=O),293,849,-7.159750789,-2.689029071,4.470721718,
155,c1sc(c2c1cc(C(F)(F)F)c(C#N)c2),759,881,-6.577563206,-2.67251176,3.905051446,
156,c1sc(c2c1C[C@H](C(F)(F)F)[C@@H](C#N)C2),441,886,-6.614162519,-0.812450323,5.801712196,
157,c1cc2c(C(=O)N(C2=O)CC)cc1,73,890,-7.39632657,-2.356614791,5.03971178,
158,c1nc2c(c(=O)c3c2ncc3)c1,541,894,-7.362067437,-4.084619376,3.277448061,
159,c1sc(C=O)c(c1)C=C,256,904,-6.560637724,-2.256912276,4.303725448,
160,c1cscc1C(=O)OC=C,267,906,-6.909705372,-1.564545795,5.345159577,
161,c1scc(n1),862,907,-7.032347084,-0.922275473,6.110071611,
162,c1c2c(=O)oc(=O)c2c(c2c1c(=O)oc2=O)C=C,529,908,-7.823191568,-3.998794667,3.824396901,
163,c1oc(c(c1N(=O)=O)N(=O)=O)C=C,440,914,-7.394421773,-3.115213783,4.27920799,
164,c1sc(c2c1C[C@H](C(=O)O)[C@@H](O)C2),356,918,-6.988972136,-1.194198844,5.794773292,
165,c1ccc(c2c1nc(CC)c(CC)n2),618,924,-6.574270628,-1.881721699,4.692548929,
166,c1sc(c(c1)C(=O)C),296,927,-6.918657917,-1.546749549,5.371908368,
167,c1oc2c(n1)cc1c(c2)oc(n1),101,931,-6.81340428,-1.484027306,5.329376974,
168,c1c2c(=O)n(c(=O)c2cc2c1c(=O)sc2=O)C=C,633,936,-7.162499139,-3.793076596,3.369422543,
169,C1C(=O)O[C@@H]2[C@H]1CC[C@@H]1[C@H]2OC(=O)C1,251,937,-7.621636839,-0.145472064,7.476164775,
170,c1c(C(=O)c2cscc2C(=O)c2ccccc2)ccc(c1),149,939,-6.815254654,-1.854401468,4.960853186,
171,c1sc(c2c1[C@H](N(=O)=O)CC[C@H]2N(=O)=O)C=C,602,949,-6.609182835,-2.191360049,4.417822786,
172,c1c2c(=O)n(c(=O)c2cc2c1c(=O)oc2=O)C=C,570,964,-7.259670995,-3.807253728,3.452417267,
173,N1C(=O)C=C(C1=O),78,965,-7.62283414,-2.875372635,4.747461504,
174,C1C(=O)O[C@H]2[C@@H]1CC[C@H]1[C@@H]2OC(=O)C1,198,969,-7.621636839,-0.144818991,7.476817847,
175,c1cc(N(=O)=O)c(cc1)C=C,345,975,-6.973407224,-2.504046075,4.469361149,
176,C1=C(Cc2c(C1)nsn2),243,979,-6.881405531,-1.492462836,5.388942695,
177,C1C(=O)Oc2c1cc1c(c2)C(C(=O)O1)C=C,742,983,-6.635088074,-1.461387434,5.17370064,
178,C#CC#CC=C,447,985,-6.578216279,-1.73575983,4.842456449,
179,c1sc(c2c1oc(=O)c(=O)o2),187,987,-7.288215738,-2.5043454,4.783870337,
180,C1=C2C(=O)N(C)C(=O)C2=C(S1),31ac,10a,-7.433932705,-1.914892377,5.519040328,
181,C1=NC2=C(S1)N=C(S2),30ac,12a,-6.827962371,-1.647867056,5.180095315,
182,C1=C(OC)C(OC)=C(C2C1=NON=2),26ac,13a,-6.823445281,-2.437078856,4.386366425,
183,C1=C2C(N=C(C(=N2)F)F)=C(C3C1=NSN=3),28ac,15a,-6.867799839,-3.504064476,3.363735363,
184,C1=C2C(N=C(C(=N2)C#N)C#N)=C(C3C1=NSN=3),5ac,16a,-7.373496218,-4.332515094,3.040981124,
185,c1cnc(c2c1nsn2),663,17a,-7.244949635,-2.948271936,4.296677699,
186,C1C2=NSN=C2C(C3C1=NSN=3),4ac,18a,-7.280242802,-2.082949891,5.197292911,
187,C1=C2C(=O)c3c(c(sc3C(F)(F)F)C(F)(F)F)C(=O)C2=C(S1),34ac,18u,-7.61537822,-3.055892964,4.559485256,
188,C1=C(C2=CC(=CC=C2S1)C#N),25ac,20u,-6.651632596,-1.570096917,5.081535679,
189,C1=CN=C(N=C1),32ac,21u,-7.005462236,-1.353194967,5.652267269,
190,c1c2nonc2c(cc1),574,22a,-7.07430704,-2.64108261,4.43322443,
191,C1=COC=C1C(=O)C2=CC=C(S2),21ac,22u,-6.718001164,-2.009805688,4.708195476,
192,C1=CC=C(c2c1n[se]n2),40ac,23a,-6.640992944,-2.60845616,4.032536784,
193,C1=C2C(N=CC=N2)=C(c3c1nsn3),23ac,24a,-6.563685399,-3.353177346,3.210508053,
194,C1=c2c(nc3C(=O)C=CC(=O)c3n2)=C(S1),0ac,25a,-6.908970664,-3.337449165,3.571521499,
195,C1=CC=C(C2C1N=C(C(=N2)F)F),1ac,25u,-6.590298134,-2.097235869,4.493062265,
196,C1=CC(F)=C(c2c1nsn2),10ac,26u,-6.907174713,-2.652348124,4.254826589,
197,c1(C)nnc(c2c1non2)(C),35ac,27a,-6.891419321,-3.221338185,3.670081136,
198,C1=NN=C(c2c1nsn2),38ac,28a,-6.865432448,-3.393014813,3.472417635,
199,C(\c1c(c(c(c(c1F)F)F)F)F)=C(/c2c(c(c(c(c2F)F)F)F)F),33ac,29u,-6.730246287,-2.474004706,4.256241581,
200,c1c(F)c(F)c(c2c1nsn2),393,2a,-7.121001777,-2.754989468,4.366012309,
201,c1ccc(s1),313,2u,-6.546705495,-0.447600073,6.099105422,
202,C1=NC=C(N=N1),29ac,31u,-6.648421652,-2.29432793,4.354093722,
203,C1=NC=CC(=N1)C=C,12ac,32u,-6.974767793,-1.882157081,5.092610712,
204,C1=NC(=NC=N1),17ac,33u,-7.639297028,-1.746726018,5.89257101,
205,c1c2nsnc2c(cc1),777,3a,-6.785594244,-2.500780709,4.284813535,
206,C1=CC(=C(C#N)C#N)C=C(O1),19ac,40u,-6.609454949,-2.653382156,3.956072793,
207,C1=CC=C2C(=C1)OC(=N2),24ac,45u,-6.802193189,-1.064863131,5.737330058,
208,C1=C(C(=O)O)C(=NO1),18ac,46u,-8.132993187,-1.792413933,6.340579254,
209,C1=C(C(=O)O)C(=CS1),27ac,47u,-7.279263192,-1.584083569,5.695179623,
210,c1cscc1C(=O)O,248,47u,-7.279263192,-1.584083569,5.695179623,
211,C1=C(C#N)SC(=C1C#N),41ac,48u,-7.755135894,-2.59019732,5.164938574,
212,C1=C(C#N)c2c(S1)sc3c2C(C#N)=C(S3),6ac,49u,-6.773702869,-1.774019037,4.999683832,
213,C1=C(F)C(F)=C(c2c1nn(n2)C),13ac,51u,-6.688367966,-1.760930361,4.927437605,
214,C1=CN=C(C=N1),15ac,57u,-6.898684761,-1.577199089,5.321485672,
215,C=C,175,59u,-7.506233355,0.157499497,7.663732852,
216,C1=NN=C(C2C1=NON=2),20ac,5a,-7.303100365,-3.604175161,3.698925204,
217,C1=CC(F)=C(C=C1F),37ac,5u,-6.809159304,-0.895009666,5.914149638,
218,C1=NN=C(C2C1=NSN=2),2ac,6a,-6.865432448,-3.393014813,3.472417635,
219,C1=C(F)C(F)=C(S1),14ac,6u,-6.953325222,-0.843144766,6.110180456,
220,C1=CC=C(C2=NC=CN=C12),8ac,7a,-6.823173167,-2.133290954,4.689882213,
221,c1c(cc2c(c1)nccn2),189,7a,-6.823173167,-2.133290954,4.689882213,duplicate?
222,c1c(F)c(F)c(c(c1F)F),714,7u,-7.019993115,-1.134769179,5.885223936,
223,C1=CC=C(C2C1=NC(=C(N=2)C)C),22ac,8a,-6.617645576,-1.80944826,4.808197316,
224,C1=C([N+](=O)[O-])C(C)=C(S1),3ac,8d,-7.16881218,-2.426983433,4.741828747,
225,C12=CC(C#N)=C(C#N)C=C1C(=O)C(C2=C(C#N)C#N)=C,0atl,10atl,-8.108638997,-4.389141986,3.719497011,
226,C1=C(C(=O)O)C(C#N)=CC2=C1C(=C(C#N)C#N)C(C2=O)=C,6atl,11atl,-8.077291481,-4.367536146,3.709755335,
227,C1=CC(=CC2=C1C(=C(C#N)C#N)C(=C)C2=O)C(F)(F)(F),46atl,12atl,-7.727870086,-3.878166597,3.849703489,
228,C1(=C(C#N)C#N)C2=C(C=C(C=C2)F)C(=O)C1=C,82atl,13atl,-7.437932778,-3.621345545,3.816587233,
229,C12=CSC(C)=C1C(=O)C(C2=C(C#N)C#N)=C,96atl,14atl,-7.159587521,-3.491003011,3.66858451,
230,C12=CSC=C1C(=O)C(C2=C(C#N)C#N)=C,3atl,15atl,-7.356461891,-3.596746453,3.759715438,
231,C1(=C(C#N)C#N)C2=C(C=CC(=C2)C)C(=O)C1=C,87atl,16atl,-7.356298623,-3.495737792,3.860560831,
232,S1C(C)(C)C(=C(C1=C(C#N)C#N)C#N),30atl,17utl,-7.123940606,-3.35149024,3.772450366,
233,C1=CC=CC2=C1C(=C(C#N)C#N)C(C2=C(C#N)C#N)=C,62atl,19atl,-7.421116142,-3.896371014,3.524745128,
234,C1(C)(C)C(=C(C(=C(C#N)C#N)O1)C#N),22atl,19utl,-7.221248519,-3.265502263,3.955746256,
235,C1=C(F)C(F)=CC2=C1C(=C(C#N)C#N)C(C2=O)=C,12atl,1atl,-7.569336557,-3.760722259,3.808614298,
236,c1(=C(C#N)C#N)n(C)c(=O)c(s1)=C,81atl,20atl,-6.99827843,-3.002313747,3.995964683,
237,C1(C2=CC=CC=C2)(C3=CC=CC=C3)C(=C(C(=C(C#N)C#N)O1)C#N),100atl,20utl,-7.163397114,-3.22419538,3.939201734,
238,C1(=O)C2=C(C=C(C(=C2F)F)F)C(=C(C#N)C#N)C1=C,17atl,21atl,-7.678372576,-3.889840282,3.788532294,
239,C1(C2=CC=CC=C2)(C3=CC=CC=C3)C(=C(C(=C(C#N)C#N)S1)C#N),56atl,21utl,-7.04208876,-3.315544,3.72654476,
240,C1=C(C)C(C)=CC2=C1C(=C(C#N)C#N)C(C2=O)=C,20atl,22atl,-7.171968701,-3.388987528,3.782981173,
241,C1=C2C(=CC=C1)SC(=N2),48atl,22utl,-6.631332903,-1.226879718,5.404453185,
242,C1(=O)C2=C(C=CS2)C(=C(C#N)C#N)C1=C,103atl,23atl,-7.414530987,-3.511955777,3.90257521,
243,C1(C(=O)C2=C(C1=O)C(=CC=C2F)F)=C,28atl,24atl,-7.132648249,-2.824705037,4.307943212,
244,C1(=O)N(C)C(=O)N(C)C(=O)C1=C,97atl,25atl,-7.438177681,-2.658116937,4.780060744,
245,C1=C2C(=CC=C1)OC(C)=C(C2=O),31atl,25utl,-6.650489718,-1.595947733,5.054541985,
246,C1=CC=C2C(=C1)C(=O)C(C2=O)=C,54atl,27atl,-6.94916188,-2.670906288,4.278255592,
247,C1=CC(SC1=O)=C,80atl,27utl,-6.750409924,-2.5009984,4.249411524,
248,C1(C(=O)C2=C(/C/1=C/3\C(=O)C4=C(C3=O)C=CC=C4)C=CC=C2)=C,25atl,28atl,-6.878357856,-3.152411747,3.725946109,
249,c1(C#N)c(F)c(F)c(s1)C#C,59atl,28utl,-7.124947427,-2.66780419,4.457143237,
250,C#Cc1c(c(c(s1)C#N)F)F,51dtr,28utr,-7.125,-2.6678,4.4572,
251,C1(C(=O)C2=C(C1=C(C#N)C#N)C=CC(=C2)Cl)=C,24atl,29atl,-7.393306107,-3.67389073,3.719415377,
252,C1=CC=CC2=C1C(=C(C#N)C#N)C(C2=O)=C,101atl,2atl,-7.43385107,-3.566705084,3.867145986,
253,C1(=O)C2=C(C=CC(=C2)Br)C(=C(C#N)C#N)C1=C,99atl,30atl,-7.360108217,-3.692040724,3.668067493,
254,C1=NOC(C=O)=C1,7atl,30utl,-7.775435587,-2.579666514,5.195769073,
255,C1(=O)C2=C(C=C(C(=C2)Br)Br)C(=C(C#N)C#N)C1=C,88atl,31atl,-7.418150101,-3.786110482,3.632039619,
256,C1(F)=C(C#N)OC(C=O)=C1,10atl,31utl,-7.662317859,-3.050777223,4.611540636,
257,C1(=C(C#N)C#N)C2=C(C=C3C(=C2)SC=C3)C(=O)C1=C,52atl,32atl,-6.890902305,-3.517370843,3.373531462,
258,C1(=C(C#N)C#N)C2=C(C=C3C(=C2)SC(=C3)Br)C(=O)C1=C,69atl,33atl,-6.919310991,-3.59315455,3.326156441,
259,o1nc(C#N)c(c1C#N)C(=O)O,93atl,33utl,-8.89651744,-3.774654489,5.121862951,
260,C12=CSC(Cl)=C1C(=O)C(C2=C(C#N)C#N)=C,19atl,34atl,-7.289385827,-3.687414788,3.601971039,
261,O1C(=NC(=C1)C=O),23atl,34utl,-7.331046458,-1.919844849,5.411201609,
262,C1=CSC2=C1C(=O)C(C2=C(C#N)C#N)=C,43atl,35atl,-7.288977656,-3.607358893,3.681618763,
263,C1=NC=C(N1C(=O)N2C=CN=C2),14atl,36utl,-7.205656395,-2.045071643,5.160584752,
264,C(=O)(N1C=NC=C1)N2C=CN=C2,11atl,37utl,-7.173492538,-2.060935881,5.112556657,
265,C1(=NC=C(S1)C#N),37atl,38utl,-7.648303996,-2.262191285,5.386112711,
266,C1=C(C=C2C(=C1)NC(=O)C(=C2)C#N),36atl,39utl,-6.739688638,-2.620157055,4.119531583,
267,C1(=C(C#N)C#N)C2=C(C=C(C(=C2)Cl)Cl)C(=O)C1=C,76atl,3atl,-7.468899334,-3.775579676,3.693319658,
268,C1(=C(C(=C(C#N)C#N)SC1=O)C#N),70atl,3utl,-8.094706768,-4.757965099,3.336741669,
269,C1=C([N+](=O)[O-])C(CO)=CC(=C1),13atl,40utl,-7.497825037,-2.543012778,4.954812259,
270,C1(C(=O)C2=C(C1=C(C#N)C#N)C=CC3=C2C=CC=C3)=C,18atl,42utl,-6.919338202,-3.515139509,3.404198693,
271,C1(=O)C2=C(C=C(C(=C2)Cl)Cl)C(=O)C1=C,35atl,43utl,-7.211860591,-2.957496596,4.254363995,
272,C(=C(C(=O)OC)C#N),33atl,44utl,-8.196695039,-2.4601269,5.736568139,
273,c1(=C(C#N)C#N)c2c(C=CC=C2)c(s1)=C,27atl,45utl,-6.631305691,-3.128601785,3.502703906,
274,C1(=C(C#N)C#N)C2=C(C=C(C(=C2)C(=O)OC)C#N)C(=O)C1=C,84atl,46utl,-7.803109566,-4.081217953,3.721891613,
275,C1(=C(C#N)C#N)C2=C(C=C(C(=C2)C(=O)OC)C(=O)OC)C(=O)C1=C,85atl,47utl,-7.482940409,-3.70219057,3.780749839,
276,C1=C2C(=CS1)C(=O)C(C2=C([N+](=O)[O-])[N+](=O)[O-])=C,41atl,48utl,-7.576166614,-3.77389257,3.802274044,
277,C1(=O)C2=C(C=CC=C2)C(=O)N1,51atl,4utl,-7.493607272,-2.435745499,5.057861773,
278,C1(=O)C2=C(F)SC=C2/C(=[N+](\[N+](=O)[O-])/C(=O)[O-])/C1=C,15atl,50utl,-7.480709075,-3.347381321,4.133327754,
279,C1(=C(C#N)C#N)C2=C(C=C3C(=C2)C=CC=C3)C(=O)C1=C,90atl,51utl,-6.874221725,-3.577671272,3.296550453,
280,C1=C(F)C=CC2=C1C=C1C(=C2)C(=O)C(C1=C(C#N)C#N)=C,55atl,52utl,-6.997598145,-3.672639006,3.324959139,
281,C1=C(F)C(F)=CC2=C1C=C1C(=C2)C(=O)C(C1=C(C#N)C#N)=C,78atl,53utl,-7.098987766,-3.727034565,3.371953201,
282,C1(F)=C(F)C(F)=C(F)C(=C1F),64atl,5utl,-7.3010323,-1.127830276,6.173202024,
283,C1(SC(=O)N(C1=O)C)=C,38atl,6atl,-7.020755034,-2.118896131,4.901858903,
284,C1(F)=C(C(=O)O)C(F)=C(F)C(=C1F),8atl,6utl,-7.568901174,-2.346737058,5.222164116,
285,C1=C2C3=C(C=C1)C(=O)N(C)C(=O)C3=CC=C2,60atl,9utl,-6.697701471,-2.624075495,4.073625976,
